"Name","Pos","Team","GP","G","A","PTS","Pts/G"
"Thomas Stewart","D","Oshawa Generals",28,3,6,9,0.32
"Landen Hookey","RW","Soo Greyhounds",29,3,6,9,0.31
"Jakub Chromiak","D","Sudbury Wolves",23,2,7,9,0.39
"Lawson Sherk","C","Hamilton Bulldogs",28,2,7,9,0.32
"Zach Wigle","C","Barrie Colts",28,2,7,9,0.32
"Brayden Hislop (total)","D","North Bay Battalion",32,2,7,9,0.28
"Ryan Mast","D","Sarnia Sting",16,0,9,9,0.56
"James Petrovski (total)","D","Owen Sound Attack",28,0,9,9,0.32
"Roenick Jodoin","C","Barrie Colts",28,4,4,8,0.29
"AJ Spellacy","C","Windsor Spitfires",29,4,4,8,0.28
"Nolan Collins","D","Sudbury Wolves",23,3,5,8,0.35
"Cooper Way (total)","C","Sarnia Sting",31,3,5,8,0.26
"Isaiah George","D","London Knights",19,2,6,8,0.42
"Noah Van Vliet","D","Hamilton Bulldogs",28,2,6,8,0.29
"Jonathan Melee","C","Peterborough Petes",25,1,7,8,0.32
"Jacob LeBlanc","D","Niagara IceDogs",26,1,7,8,0.31
"Cal Uens","D","Owen Sound Attack",29,1,7,8,0.28
"Payton Robinson","D","Guelph Storm",31,1,7,8,0.26
"Konnor Smith","D","Peterborough Petes",28,0,8,8,0.29
"Rodwin Dionicio","D","Niagara IceDogs",17,4,3,7,0.41
"Jesse Fishman","C","Kitchener Rangers",25,4,3,7,0.28
"Alexander Lukin","D","North Bay Battalion",29,3,4,7,0.24
"Alec Belanger","D","Kingston Frontenacs",17,2,5,7,0.41
"Andrew LeBlanc","C","Niagara IceDogs",18,2,5,7,0.39
"Ethan Procyszyn","RW","North Bay Battalion",24,2,5,7,0.29
"Matthew Virgilio","RD","Soo Greyhounds",24,2,5,7,0.29
"Alex Bradshaw","LW","Flint Firebirds",28,2,5,7,0.25
"Alexis Daviault (total)","D","Erie Otters",32,2,5,7,0.22
"Ben Danford","D","Oshawa Generals",24,1,6,7,0.29
"Matthew Mayich","D","Ottawa 67's",27,1,6,7,0.26
"Cameron Morton","D","Erie Otters",29,1,6,7,0.24
"Donovan McCoy","D","Peterborough Petes",31,0,7,7,0.23
"Paul Hughes","RW","Kingston Frontenacs",23,5,1,6,0.26
"Kieron Walton","LW","Sudbury Wolves",21,4,2,6,0.29
"Charlie Paquette","RW","Guelph Storm",31,4,2,6,0.19
"Jett Luchanko","RW","Guelph Storm",25,3,3,6,0.24
"PJ Forgione","D","Saginaw Spirit",16,2,4,6,0.38
"Thomas Johnston (total)","LW","Windsor Spitfires",19,2,4,6,0.32
"Alex Assadourian","C","Sudbury Wolves",25,2,4,6,0.24
"Finn Harding","RD","Mississauga Steelheads",25,2,4,6,0.24
"Bruce McDonald","LW","Erie Otters",28,2,4,6,0.21
"Thomas Chafe","RW","Owen Sound Attack",30,2,4,6,0.2
"Wyatt Kennedy","D","North Bay Battalion",30,2,4,6,0.2
"Anthony Agostinelli","RW","Niagara IceDogs",15,1,5,6,0.4
"Michael Podolioukh (total)","C","Niagara IceDogs",21,1,5,6,0.29
"Marek Vanacker","LW","Hamilton Bulldogs",23,1,5,6,0.26
"Caeden Carlisle","LD","Soo Greyhounds",24,1,5,6,0.25
"Adrian Misaljevic","LW","Kitchener Rangers",25,1,5,6,0.24
"Marc Boudreau","LW","Sudbury Wolves",27,1,5,6,0.22
"Parker Von Richter","RD","Mississauga Steelheads",29,1,5,6,0.21
"James Jodoin","D","Windsor Spitfires",21,0,6,6,0.29
"Derek Smyth","D","Ottawa 67's",22,0,6,6,0.27
"Taos Jordan","D","Owen Sound Attack",29,0,6,6,0.21
"Braden Haché","D","Kingston Frontenacs",30,0,6,6,0.2
"Chris Grisolia","C","Barrie Colts",28,5,0,5,0.18
"Nathan Villeneuve","C","Sudbury Wolves",18,4,1,5,0.28
"Adam Cavallin","C","Kingston Frontenacs",28,4,1,5,0.18
"Artem Guryev (total)","D","Flint Firebirds",15,2,3,5,0.33
"Cole Beaudoin","C","Barrie Colts",23,2,3,5,0.22
"Owen Pitters","C","Flint Firebirds",24,2,3,5,0.21
"Mitchell Brooks","LW","Kingston Frontenacs",25,2,3,5,0.2
"Brian Zanetti","D","Peterborough Petes",27,2,3,5,0.19
"Ben Roger","D","Kingston Frontenacs",20,1,4,5,0.25
"Chandler Romeo","D","Sarnia Sting",20,1,4,5,0.25
"Madden Steen","D","Owen Sound Attack",20,1,4,5,0.25
"Artur Cholach","D","Barrie Colts",21,1,4,5,0.24
"Nikita Parfenyuk","D","Oshawa Generals",26,1,4,5,0.19
"Thomas Budnick","D","Kingston Frontenacs",28,1,4,5,0.18
"Bronson Ride","D","Windsor Spitfires",29,1,4,5,0.17
"Matthew Andonovski","D","Kitchener Rangers",26,0,5,5,0.19
"Cedricson Okitundu (total)","D","Guelph Storm",23,4,0,4,0.17
"Tyson Doucette","LW","Sarnia Sting",29,4,0,4,0.14
"Jackson Stewart","LW","Kingston Frontenacs",16,3,1,4,0.25
"Ethan MacKinnon","D","London Knights",23,2,2,4,0.17
"Ryan McGuire","C","Guelph Storm",25,2,2,4,0.16
"Ryder McIntyre (total)","RW","Oshawa Generals",26,2,2,4,0.15
"James Guo","D","Peterborough Petes",23,1,3,4,0.17
"Alex Kostov","RW","Soo Greyhounds",24,1,3,4,0.17
"Nathan Ribau","D","Niagara IceDogs",24,1,3,4,0.17
"Daniil Sobolev","D","Windsor Spitfires",26,1,3,4,0.15
"Alec Leonard (total)","D","London Knights",28,1,3,4,0.14
"Nathan Sauder","D","Erie Otters",28,1,3,4,0.14
"Josh Currie (total)","LW","Kingston Frontenacs",15,0,4,4,0.27
"Grayson Tiller","D","Barrie Colts",24,0,4,4,0.17
"Valdemar William Hull (total)","LW","Niagara IceDogs",26,0,4,4,0.15
"Lincoln Moore","RW","Saginaw Spirit",20,3,0,3,0.15
"Brice Cooke (total)","LW","Mississauga Steelheads",29,3,0,3,0.1
"Ben Bujold","C","London Knights",18,2,1,3,0.17
"Devin Mauro","LW","Sudbury Wolves",20,2,1,3,0.15
"Jacob Therrien","RW","North Bay Battalion",22,2,1,3,0.14
"Taeo Artichuk","C","Erie Otters",27,2,1,3,0.11
"Kaden Pitre","C","Flint Firebirds",28,2,1,3,0.11
"Mason Zebeski","LW","Mississauga Steelheads",30,2,1,3,0.1
"Ty Petrou (total)","C","Oshawa Generals",16,1,2,3,0.19
"Landon Cato","D","Niagara IceDogs",17,1,2,3,0.18
"Maleek McGowan","D","Kingston Frontenacs",17,1,2,3,0.18
"Ethan Quick","RW","Ottawa 67's",17,1,2,3,0.18
"Marko Stojkov","D","Flint Firebirds",17,1,2,3,0.18
"Liam Storch","RW","Saginaw Spirit",17,1,2,3,0.18
"Gavin Grundner","LW","Guelph Storm",22,1,2,3,0.14
"Tomas Hebek","D","Windsor Spitfires",24,1,2,3,0.13
"Connor Federkow","D","London Knights",25,1,2,3,0.12
"Dylan Edwards","C","Erie Otters",26,1,2,3,0.12
"Blake Smith (total)","D","Flint Firebirds",26,1,2,3,0.12
"Adrian Rebelo","LW","Hamilton Bulldogs",27,1,2,3,0.11
"Josh Kavanagh","D","Barrie Colts",28,1,2,3,0.11
"Connor Toms","LD","Soo Greyhounds",28,1,2,3,0.11
"Hunter McKenzie","C","Guelph Storm",15,0,3,3,0.2
"Masen Wray","C","Hamilton Bulldogs",17,0,3,3,0.18
"Tyler Graham","RW","Oshawa Generals",19,0,3,3,0.16
"Ty Hollett","D","Kitchener Rangers",20,0,3,3,0.15
"Mathieu Paris","C","London Knights",22,0,3,3,0.14
"Kyle Morey","C","Kitchener Rangers",23,0,3,3,0.13
"Ryan Vannetten","D","Niagara IceDogs",26,0,3,3,0.12
"Christopher Brown","C","Soo Greyhounds",24,2,0,2,0.08
"Noah Nelson","C","Hamilton Bulldogs",24,2,0,2,0.08
"Cameron Mercer","C","Kitchener Rangers",15,1,1,2,0.13
"Daks Klinkhammer","LW","Flint Firebirds",17,1,1,2,0.12
"Carter Lowe","LW","Barrie Colts",17,1,1,2,0.12
"Isaac Enright (total)","RD","Guelph Storm",19,1,1,2,0.11
"Hunter McKnight","C","Guelph Storm",19,1,1,2,0.11
"Quinton Pagé","LW","Peterborough Petes",19,1,1,2,0.11
"Gavin Ewles","D","Ottawa 67's",22,1,1,2,0.09
"Artyom Kulakov","D","Erie Otters",23,1,1,2,0.09
"Caden Kelly","RW","Ottawa 67's",25,1,1,2,0.08
"Olivier Savard","D","Saginaw Spirit",25,1,1,2,0.08
"Brenden Anderson","LW","Hamilton Bulldogs",27,1,1,2,0.07
"Zackary Sandhu","D","Guelph Storm",28,1,1,2,0.07
"Mitch Young","D","Sarnia Sting",15,0,2,2,0.13
"Austin Harper","RW","Sarnia Sting",17,0,2,2,0.12
"Antonino Pugliese","RW","Kitchener Rangers",20,0,2,2,0.1
"Nicholas Yearwood","LW","London Knights",20,0,2,2,0.1
"Max Donoso","G","Ottawa 67's",23,0,2,2,0.09
"Cam Gauvreau (total)","D","Saginaw Spirit",24,0,2,2,0.08
"Antonio Tersigni","C","Owen Sound Attack",24,0,2,2,0.08
"Lucas Karmiris","C","Mississauga Steelheads",25,0,2,2,0.08
"Ben Cormier","C","Owen Sound Attack",18,1,0,1,0.06
"Kimo Gruber","RW","Oshawa Generals",21,1,0,1,0.05
"Connor Clattenburg","LW","Soo Greyhounds",25,1,0,1,0.04
"Nick Chenard","G","Owen Sound Attack",15,0,1,1,0.07
"Sam McCue","LW","Peterborough Petes",16,0,1,1,0.06
"Daylen Moses","C","Soo Greyhounds",16,0,1,1,0.06
"Braedyn Rogers","D","Owen Sound Attack",16,0,1,1,0.06
"Kashawn Aitcheson","D","Barrie Colts",17,0,1,1,0.06
"Evan Klein","LW","Niagara IceDogs",17,0,1,1,0.06
"Bode Stewart","LW","Saginaw Spirit",17,0,1,1,0.06
"Alessio Beglieri","G","Mississauga Steelheads",18,0,1,1,0.06
"Ranvir Gill-Shane (total)","D","Hamilton Bulldogs",18,0,1,1,0.06
"Samuel Ivanov","G","Soo Greyhounds",18,0,1,1,0.06
"Chase Lefebvre","C","Peterborough Petes",18,0,1,1,0.06
"Duncan Schneider","D","Kingston Frontenacs",18,0,1,1,0.06
"Harrison Ballard","C","Soo Greyhounds",19,0,1,1,0.05
"Shawn Spearing","D","Peterborough Petes",19,0,1,1,0.05
"Matthew Jenken","D","Flint Firebirds",21,0,1,1,0.05
"Patrick Leaver","G","Oshawa Generals",24,0,1,1,0.04
"Ryan Struthers","C","Mississauga Steelheads",24,0,1,1,0.04
"Ryan Thompson","RD","Soo Greyhounds",25,0,1,1,0.04
"Owen MacDonald","D","Sarnia Sting",29,0,1,1,0.03
"David Bedkowski","D","Oshawa Generals",15,0,0,0,0
"Nicholas Surzycia","G","Sarnia Sting",15,0,0,0,0
"Nolan Lalonde","G","Erie Otters",16,0,0,0,0
"Anson Thornton","G","Barrie Colts",16,0,0,0,0
"Carson Campbell","D","Sarnia Sting",17,0,0,0,0
"Matteo Drobac","G","Hamilton Bulldogs",18,0,0,0,0
"Owen Flores","G","Niagara IceDogs",18,0,0,0,0
"Marco Costantini (total)","G","Kitchener Rangers",19,0,0,0,0
"Dom DiVincentiis","G","North Bay Battalion",20,0,0,0,0
"Stevie Leskovar","D","Peterborough Petes",20,0,0,0,0
"Mathias Onuska","G","Windsor Spitfires",20,0,0,0,0
"Ivan Zhigalov","G","Kingston Frontenacs",20,0,0,0,0
"Brett Brochu","G","London Knights",21,0,0,0,0
"Quinn Binnie","RW","Mississauga Steelheads",22,0,0,0,0
"Benjamin Gaudreau","G","Sarnia Sting",22,0,0,0,0
"Tristan Lennox","G","Saginaw Spirit",22,0,0,0,0
"Jacob Oster","G","Guelph Storm",22,0,0,0,0
"George Alboim","D","Erie Otters",23,0,0,0,0
"Will Cranley","G","Flint Firebirds",24,0,0,0,0
"Alex Messier","LW","Erie Otters",24,0,0,0,0
"Joe Ranger","G","Sudbury Wolves",24,0,0,0,0
"Michael Simpson","G","Peterborough Petes",25,0,0,0,0
"Brayden Turley","D","North Bay Battalion",25,0,0,0,0
"Luc Schweingruber","D","Owen Sound Attack",27,0,0,0,0
